,0
660,2221
661,2103
662,2289
663,1040
664,659
665,989
666,1509
667,2329
668,3198
669,3533
670,3542
671,2787
672,1885
673,1104
674,688
675,501
676,400
677,624
678,848
679,1019
680,1469
681,1897
682,2896
683,2149
684,1709
685,1854
686,1937
687,2106
688,2497
689,3098
690,3498
691,3651
692,3706
693,3561
694,3393
695,3535
696,3675
697,3719
698,3736
699,3744
700,3744
701,3745
702,3713
703,3732
704,3745
705,3726
706,2431
707,1108
708,677
709,501
710,386
711,274
712,174
713,77
714,2
715,0
716,0
717,0
718,163
719,2275
720,3184
721,3514
722,3649
723,3679
724,3712
725,3728
726,3734
727,3739
728,3742
729,3743
730,3746
731,3746
732,3707
733,2486
734,1143
735,688
736,505
737,389
738,277
739,176
740,78
741,4
742,0
743,551
744,1173
745,670
746,481
747,355
748,294
749,722
750,1091
751,1983
752,2716
753,3290
754,3563
755,3671
756,3714
757,3728
758,3733
759,3739
760,3740
761,3739
762,3743
763,3745
764,3722
765,3731
766,3737
767,3745
768,3741
769,3743
770,3103
771,1488
772,799
773,563
774,432
775,321
776,210
777,113
778,30
779,0
780,0
781,0
782,0
783,266
784,2071
785,2881
786,2641
787,3007
788,3363
789,3202
790,3503
791,3658
792,3710
793,3728
794,3730
795,3737
796,3743
797,3741
798,3745
799,3745
800,3743
801,3743
802,3749
803,3744
804,3746
805,3725
806,3739
807,3744
808,3743
809,3745
810,3741
811,3744
812,3748
813,3747
814,3745
815,3744
816,3748
817,3746
818,3748
819,3748
820,3746
821,3751
822,3745
823,3749
824,3746
825,3709
826,3728
827,2923
828,1493
829,801
830,567
831,434
832,321
833,215
834,117
835,33
836,0
837,0
838,0
839,0
840,0
841,0
842,1311
843,2879
844,3397
845,3600
846,3662
847,3707
848,3723
849,3731
850,3739
851,3738
852,3743
853,3742
854,3722
855,1779
856,895
857,598
858,455
859,343
860,236
861,131
862,47
863,0
864,0
865,0
866,149
867,439
868,309
869,464
870,2443
871,3241
872,3536
873,3659
874,3705
875,3721
876,3728
877,3734
878,3738
879,3739
880,3392
881,1654
882,1655
883,2923
884,3431
885,3631
886,3705
887,3704
888,3728
889,3519
890,2559
891,2686
892,3185
893,3538
894,3671
895,3722
896,3735
897,3739
898,3744
899,3742
900,3727
901,3740
902,3746
903,3744
904,3540
905,3061
906,2175
907,2402
908,1713
909,865
910,585
911,448
912,844
913,1562
914,1931
915,2270
916,2133
917,1616
918,859
919,580
920,435
921,320
922,208
923,106
924,127
925,1763
926,3015
927,3440
928,3600
929,3684
930,3716
931,3728
932,3536
933,2625
934,1648
935,971
936,624
937,469
938,519
939,958
940,1126
941,1937
942,3090
943,3481
944,3643
945,3698
946,3724
947,3737
948,3699
949,3722
950,3439
951,3441
952,3205
953,2911
954,2606
955,2391
956,2320
957,2349
958,2370
959,2349
960,2030
961,1930
962,2229
963,2515
964,2731
965,2795
966,2492
967,2378
968,2176
969,3026
970,1766
971,1328
972,1543
973,1936
974,2244
975,2487
976,2739
